janamdivas	जन्मदिवस
kamleshwar	कमलेश्वर
filmaya	फिल्माया
sanvarte	संवारते
pahchano	पहचानो
garbhwati	गर्भवती
sambal	संबल
aparanpaar	अपरंपार
hattngadi	हट्टंगड़ी
prashnpatra	प्रश्नपत्र
kriyashil	क्रियाशील
bhavishyonmukhi	भविष्योन्मुखी
raghuraj	रघुराज
traverse	ट्रैवर्स
tokriyon	टोकरियों
codnem	कोडनेम
udarvadi	उदारवादी
suy	सुए
gadna	गाड़ना
keraatin	केराटिन
sarwotkrisht	सर्वोत्कृष्ट
jyamitiy	ज्यामितीय
sourmandal	सौरमंडल
sujhai	सुझाई
baunaa	बौना
rajyashree	राज्यश्री
maithun	मैथुन
bhatiyon	भट्टियों
nadella	नडेला
jaruratmand	जरूरतमंद
spem	स्पैम
antharmahavipiya	अंतरमहाद्वीपीय
apmaanjanak	अपमानजनक
newcomer	न्यूकमर
shweta	श्वेता
bhabhak	भभका
netralaya	नेत्रालय
mayana	मायना
pratikon	प्रतीकों
iljam	इल्ज़ाम
ians	आईएएनएस
sootji	सूतजी
taatvik	तात्विक
mutrmarg	मूत्रमार्ग
aparadhmukt	अपराधमुक्त
jiska	जिसका
oki	ओकी
vivahita	विवाहिता
santanein	संतानें
naangiya	नांगिया
indica	इंडिका
nahaakar	नहाकर
vienna	विएना
jamwant	जामवंत
matdaataaon	मतदाताओं
ranon	ऋणों
jhaag	झाग
priyajanon	प्रियजनों
prakaashakon	प्रकाशकों
asainy	असैन्य
mashinen	मशीनें
panno	पन्नो
png	पीएनजी
vivahon	विवाहों
hakim	हकीम
vibhago	विभागो
kharidata	खरीदता
udanaa	उड़ना
warp	वार्प
hasyapurna	हास्यपूर्ण
ayonij	अयोनिज
kakahara	ककहरा
sansthapakon	संस्थापकों
haase	हासे
bahjoee	बहजोई
diwaron	दीवारों
krishkon	कृषकों
fred	फ्रेड
flute	फ्लूट
lalman	लालमन
khaandu	खांडू
abhijathya	अभिजात्य
ghantaghar	घंटाघर
battaliyanen	बटालियनें
jailein	जेलें
poogal	पूगल
vigyaapit	विज्ञापित
domination	डोमिनेशन
visheshank	विशेषांक
soram	सोरम
sarvvyapi	सर्वव्यापी
mehbuba	महबूबा
ishninda	ईशनिंदा
shradhanusar	श्रद्धानुसार
dhulane	धुलने
dhaatru	धातृ
jaadui	जादुई
rishtedaari	रिश्तेदारी
looteron	लूटेरों
haaraa	हारा
fulate	फूलते
bahak	बहक
dandaadesh	दंडादेश
countries	कंट्रीज
himachadit	हिमाच्छादित
sikhaatey	सिखाते
medonna	मैडोना
philistin	फिलिस्तीन
agtack	एजटेक
navparvartan	नवप्रवर्तन
vigyapandaata	विज्ञापनदाता
sis	सीस
govardhannath	गोवर्धननाथ
scout	स्काउट
silensor	साइलेंसर
naavon	नावों
facing	फेंसिंग
creameya	क्रीमिया
ulajhna	उलझना
victoriyai	विक्टोरियाई
goldi	गोल्डी
utavlepan	उतावलेपन
snack	स्नेक
adhikariyo	अधिकारियो
dayriyaan	डायरियां
ukerne	उकेरने
badudar	बद्दूर
lodha	लोधा
australiaee	ऑस्ट्रियाई
bricks	ब्रिक्स
alankarana	अलंकरण
adhyayankarta	अध्ययनकर्ता
banaskantha	बनासकांठा
rajim	राजिम
nahlate	नहलाते
tiguna	तिगुना
devanand	देवानंद
khjua	खजुआ
obc	ओबीसी
pyaz	प्याज
roorkee	रुड़की
apatatiy	अपतटीय
renold	रेनाल्ड
charamkar	चर्मकार
budhimani	बुद्धिमानी
uker	उकेर
antrashtriya	अंतराष्ट्रीय
lutane	लुटाने
makhna	माखन
roodiyon	रूढ़ियों
kharghar	खारघर
yuaan	युआन
vasulna	वसूलना
purvavstha	पूर्वावस्था
rudraksh	रूद्राक्ष
sarvedaliy	सर्वदलीय
punaraavriti	पुनरावृति
ghushma	घुश्मा
peritonial	पेरीटोनियल
shukracharya	शुक्राचार्य
ikshvaku	इक्ष्वाकु
biomas	बायोमास
pehchankar	पहचानकर
nachnaa	नचना
scripting	स्क्रिप्टिंग
tamanchey	तमंचे
augustus	अगस्टस
pratimaon	प्रतिमाओं
arnab	अरनब
chihater	छिहत्तर
bhatijoyan	भतीजियां
tukadiyon	टुकड़ियों
dcwu	डीसीडब्ल्यू
moonat	मूणत
rushabhadev	ऋषभदेव
vaastushilpi	वास्तुशिल्पी
sambhvataya	संभवतया
astshastron	अस्त्रशस्त्रों
rajpath	राजपथ
sket	स्केट
pasli	पसली
patron	पत्रों
patrolling	पेट्रोलिंग
stachu	स्टेचू
udaysinh	उदयसिंह
turhi	तुरही
shakun	शकुन
jarurten	जरूरतें
transatlantic	ट्रांसअटलांटिक
denevale	देनेवाले
nakaraatmaktaa	नकारात्मकता
lightning	लाइटनिंग
inevitable	इनएविटेबल
rakkhe	रक्खे
husali	हुलसी
malayi	मलाई
travler	ट्रैवलर
laari	लारी
banarashi	बनारसी
tringar	त्रिनगर
samadhisth	समाधिस्थ
akritiyan	आकृतियां
jyotirgamay	ज्योतिर्गमय
fasalon	फसलों
steve	स्टीव
restaurent	रेस्टोरेंट
grishm	ग्रीष्म
snaayuon	स्नायुओं
bechana	बेचना
vyaktivad	व्यक्तिवाद
paidayashi	पैदायशी
samaanikaran	समानीकरण
prizm	प्रिज्म
meenu	मीनू
ships	शिप्स
satelite	सैटेलाइट
anumatiyon	अनुमतियों
carddhari	कार्डधारी
nachna	नचना
langhane	लांघने
rss	आरएसएस
mhapralay	महाप्रलय
sarovar	सरोवर
pabu	पाबू
kulshrestha	कुलश्रेष्ठ
karmasthali	कर्मस्थली
avashyaktaon	आवश्यकताओं
jatilataaei	जटिलताएं
mahakta	महकता
patrvyavahaar	पत्रव्यवहार
dhairyapurwak	धैर्यपूर्वक
siliserh	सिलीसेढ़
bestman	बेस्टमैन
asargang	असरगंज
avasynbhavi	अवश्यंभावी
anusushiyon	अनुसूचियों
azaadi	आज़ादी
puraanik	पुराणिक
dhoumya	धौम्य
whatling	वाटलिंग
rajdharm	राजधर्म
karmik	कार्मिक
bedaul	बेडौल
karnamon	कारनामों
francois	फ्रांसिस
diwarein	दीवारें
satguru	सतगुरू
chattani	चट्टानी
periyojanaon	परियोजनाओं
rangata	रंगता
pawandev	पवनदेव
haldrani	हल्द्वानी
sahanubhuti	सहानुभुति
danavadol	डांवाडोल
tyaagpatr	त्यागपत्र
jaasoosi	जासूसी
karyakshetron	कार्यक्षेत्रों
niptaanaa	निपटाना
antaniyo	अंटोनियो
ashwani	अश्वनी
matchmaking	मैचमेकिंग
daudata	दौड़ता
tiruvannamalai	तिरुवन्नामलाई
anevale	आनेवाले
smarakon	स्मारकों
vigyapti	विज्ञापित
murda	मुर्दा
kurara	कुरारा
drishytah	दृश्यता
deepali	दीपाली
vidhyaarthiyon	विद्यार्थियो
sahishnuta	सहिष्णुता
sangyak	संज्ञक
mdt	एमडीटी
kushtibaaj	कुश्तीबाज
pratikriyaen	प्रतिक्रियाएं
mhadeshon	महादेशों
bachaakar	बचाकर
seb	सेब
tirwa	तिर्वा
drishyshrvy	दृश्यश्रव्य
kaziranga	काजीरंगा
matadhikar	मताधिकार
niptanaa	निपटाना
tyagpatra	त्यागपत्र
charted	चार्टड
yogik	यौगिक
lahrata	लहराता
maananeyvalon	माननेवालों
budhen	बूढ़े
mhanand	महानंद
jhum	झूम
shikshavid	शिक्षाविद्
jaldharayen	जलधाराएं
warrantiyon	वारंटियों
amleey	अम्लीय
aushadhiy	औषधीय
tapaak	तपाक
uapvijeta	उपविजेता
evro	एवरो
udyaapan	उद्यापन
skater	स्केटर
bahujan	बहुजन
mithkon	मिथकों
blakon	ब्लाकों
batnon	बटनों
dinraatri	दिनरात्रि
koiery	कोइरी
rahanee	रहनी
paraasnaatak	परास्नातक
lomadi	लोमड़ी
br	बीआर
kirae	किराए
janasamparak	जनसंपर्क
sune	सूने
panbijli	पनबिजली
blon	बलों
vayaskon	वयस्कों
chhodata	छोड़ता
bhattiyan	भट्टियां
craft	क्रॉफ्ट
vrihad	वृहद
bhejate	भेजते
safaya	सफाया
rekhaen	रेखाएं
sthali	स्थली
aatmchintan	आत्मचिंतन
shuklapaksha	शुक्लपक्ष
meenar	मीनार
mahashaktiyon	महाशक्तियों
puratattvik	पुरातात्त्विक
samvardhit	संवर्धित
avasanrchanaa	अवसंरचना
veshya	वेश्या
moolyankit	मूल्यांकित
jaagate	जागते
hras	हृास
petterson	पैटर्सन
patmada	पटमदा
drummer	ड्रमर
nibhaye	निभाये
bahujateeye	बहुजातीय
aalsy	आलस्य
poonjivaad	पूंजीवाद
muchhon	मूंछों
ucchata	उच्चता
faijabad	फैजाबाद
cpu	सीपीयू
dinon	दिनों
kashibaai	काशीबाई
gudgudane	गुदगुदाने
brahamandiya	ब्रह्मांडीय
andhiyon	आंधियों
rubal	रूबल
kambali	कांबली
davaaon	दवाओं
bakawas	बकवास
agney	अज्ञेय
chalayenge	चलाएंगे
sanayi	सनई
speaking	स्पीकिंग
hut	हट
mangentic	मेग्नेटिक
shrenibaddha	श्रेणीबद्ध
patravali	पत्रावली
agnimandya	अग्निमांद्य
ajvestan	एजबेस्टन
rashtrasangh	राष्ट्रसंघ
samaveshan	समावेशन
navnit	नवनीत
asakti	आसक्ति
chubhan	चुभन
sparm	स्पर्म
favaad	फवाद
cambail	कैंबेल
jivanyaapan	जीवनयापन
talvaron	तलवारों
marvane	मरवाने
ladega	लड़ेगा
paimana	पैमाने
malayidar	मलाईदार
mandhata	मांधाता
problam	प्रॉब्लम
uska	उसका
daga	दगा
todkar	तोड़कर
samaynusar	समयनुसार
padmsan	पद्मासन
lekhaakaar	लेखाकार
ghoornan	घूर्णन
ghaylavstha	घायलावस्था
hiting	हिटिंग
aadhaan	आधान
suduravarti	सुदूरवर्ती
kantedar	कांटेदार
manochikitsak	मनोचिकित्सक
aakaashgangaaon	आकाशगंगाओं
cic	सीआईसी
deewaarein	दीवारें
panchmukhi	पंचमुखी
khilane	खिलने
pans	पांस
movemaint	मूवमैंट
mhadwipiy	महाद्वीपीय
kutilta	कुटिलता
bhagyavati	भाग्यवती
kindle	किंडल
apardan	अपरदन
rkshi	आरक्षी
abhivriddhi	अभिवृद्धि
tanuja	तनुजा
parosa	परोसा
aagari	आगरी
adhuniktavadi	आधुनिकतावादी
monosodium	मोनोसोडियम
dawaaon	दवाओं
bhugarbhashastri	भूगर्भशास्त्री
grass	ग्रास
lagaam	लगाम
adults	एडल्ट्स
ballebaazon	बल्लेबाजों
ujjyini	उज्जयिनी
narela	नरेला
swechaya	स्वेच्छया
veles	वेलेस
avashyanbhave	अवश्यंभावी
lapit	लेपित
karensi	करेंसी
newyork	न्यूयॉर्क
teratoka	टेराकोटा
prashiya	प्रशिया
atmsanyam	आत्मसंयम
ugane	उगाने
anupgadh	अनूपगढ
jagirdar	जागीरदार
kuwaiti	कुवैती
gamachha	गमछा
bundela	बुंदेला
jahazon	जहाज़ों
mannevale	माननेवाले
nivasini	निवासिनी
vidin	विदिन
deviyon	देवियों
meerut	मेरठ
zmeenen	जमीनें
upvaas	उपवास
janasamanya	जनसामान्य
peyjal	पेयजल
devalayon	देवालयों
usse	उससे
jaatiwadi	जातिवादी
boondon	बूंदों
chironji	चिरौंजी
julaahe	जुलाहे
sevanivrit	सेवानिवृत
sandehaspad	संदेहास्पद
iradgirad	इर्दगिर्द
jagegi	जागेगी
kissing	किसिंग
sarvekshit	सर्वेक्षित
bhrgu	भृगु
emigration	इमिग्रेशन
tairati	तैरती
iba	आईबीए
urin	यूरिन
sinhdwar	सिंहद्वार
naisargikata	नैसर्गिकता
semriya	सेमरिया
takniken	तकनीकें
navada	नवादा
kosthe	कोसते
chitkar	चीत्कार
milega	मिलेगा
nyaayashaastra	न्यायशास्त्र
ubalane	उबालने
bichonbich	बीचोंबीच
dhaalon	ढालों
upmahaadweep	उपमहाद्वीप
girje	गिरजे
bahson	बहसों
parshv	पार्श्व
kaabij	काबिज
gendbazon	गेंदबाजों
tabadle	तबादले
villiers	विलियर्स
gravity	ग्रैविटी
duraani	दुरानी
kasmi	कासमी
aakramankaariyon	आक्रमणकारियों
aakrutiyon	आकृतियों
pchhale	पिछले
shoonyakal	शून्यकाल
jansvaasthy	जनस्वास्थ्य
behoshi	बेहोशी
daanvi	दानवी
pighalne	पिघलना
shravak	श्रावक
eluru	एलुरु
ipo	आईपीओ
pratyush	प्रत्यूष
kijiy	कीजिए
mangatram	मंगतराम
aparajit	अपराजिता
maankikrut	मानकीकृत
tapedik	तपेदिक
apvadon	अपवादों
dukhdae	दुखदाई
dhaumy	धौम्य
poton	पोतों
rediff	रेडिफ
samanvayavadi	समन्वयवादी
naveenikrat	नवीनीकृत
beenanaa	बीनना
jabadon	जबड़ों
transmiter	ट्रांसमीटर
dausa	दौसा
gahari	गहरी
sangoshthiyon	संगोष्ठियों
duguni	दुगुनी
samajsewiyon	समाजसेवियों
janapriya	जनप्रिय
udyami	उद्यमी
taluqdar	तालुकदार
hitaishiyon	हितैषियों
jupitar	जुपिटर
lawaaris	लावारिस
karari	करारी
davibhashi	द्विभाषी
tags	टैग्स
chechenya	चेचेन्या
akp	एकेपी
essential	एसेंशियल
breaststroke	ब्रेस्टस्ट्रोक
batana	बताना
pratim	प्रतिम
jwalamukhiyon	ज्वालामुखियों
raajnetaaon	राजनेताओं
samba	सांब
loudspeaker	लाउडस्पीकर
nishprabhavi	निष्प्रभावी
ganwai	गंवाई
ertanagar	ईटानगर
ummiden	उम्मीदें
albart	अलबर्ट
daleey	दलीय
aamne	आमने
aparampaar	अपरंपार
davayen	दवाएं
hukma	हुक्म
stall	स्टाल
khaati	खाती
tippniya	टिप्पणियाँ
jamalpur	जमालपुर
mirjapur	मीरजापुर
jalalabad	जलालाबाद
maranasan	मरणासन्न
ropan	रोपण
chintagufa	चिंतागुफा
satwalekar	सातवलेकर
pehchanne	पहचानने
adhigrahanon	अधिग्रहणों
suney	सुने
soyen	सोएं
b	बि
likhiye	लिखिए
chaurahe	चौराहे
backup	बैकअप
bhagwate	भगवते
buildings	बिल्डिंग्स
roopart	रुपर्ट
abhyasth	अभ्यस्त
mafiyaon	माफियाओं
dabaya	दबाया
guardian	गार्जियन
pagalkhane	पागलखाने
sanvahak	संवाहक
sarvashreshtha	सर्वेश्रेष्ठ
parikhaon	परीक्षाओं
shehtut	शहतूत
sirhaane	सिरहाने
dilon	दिलों
lehje	लहजे
parakhane	परखने
meethi	मीठी
mankon	मानकों
dharmikata	धार्मिकता
bijavar	बिजावर
rockers	रॉकर्स
uprashtrapati	उपराष्ट्रपति
eproch	एप्रोच
tairaki	तैराकी
pingal	पिंगल
nagpash	नागपाश
rasauli	रसौली
bataiae	बताईए
haraatey	हराते
dudhwa	दुधवा
brijraaj	बृजराज
bearing	बेयरिंग
techgig	टैगिंग
samaruupata	समरूपता
aasamaan	आसमान
poornat	पूर्णत
suputra	सुपुत्र
viddhmaan	विद्धमान
semaria	सेमरिया
dantey	डांटते
chukana	चुकाना
aramgah	आरामगाह
himyug	हिमयुग
aakaashgangaa	आकाशगंगा
fatehaal	फटेहाल
tripitk	त्रिपिटक
massaging	मैसेजिंग
rankoji	रैंकोजी
khinchav	खिंचाव
barabanki	बाराबंकी
ganiyaari	गनियारी
aulada	औलाद
chalti	चलती
dabral	डबराल
clerk	क्लर्क
machhuaare	मछुआरे
bahjoe	बहजोई
putriyon	पुत्रियों
uthaani	उठानी
waxin	वैक्सीन
kabula	कबूला
magnolia	मैगनोलिया
tirachhi	तिरछी
parikshaaon	परीक्षाओं
tairkar	तैरकर
tejomahalay	तेजोमहालय
hajiyon	हाजियों
samantaon	समानताओं
http	एचटीटीपी
nimdih	नीमडीह
aatankvadhiyo	आतंकवादियों
dhuri	धुरी
ilayas	इलयास
sujhaanaa	सुझाना
bataaliyanon	बटालियनों
baithen	बैठें
izrael	इज़राइल
homework	होमवर्क
sadhanon	साधनों
apharankrta	अपहरणकर्ता
banaaskantha	बनासकांठा
dalil	दलील
stevens	स्टीवंस
jamir	जमीर
jalprapoton	जलप्रपातों
panktiyaan	पंक्तियां
silised	सिलीसेढ़
gandharvasen	गंधर्वसेन
trik	त्रिक
vacuum	वैक्यूम
pahanti	पहनती
fancy	फैंसी
ashvamegh	अश्वमेध
mahuaa	महुआ
raviwar	रविवार
kapuuri	कपूरी
kulshest	कुलश्रेष्ठ
cage	केज
mandit	मंडित
chattanon	चट्टानों
mandleshwar	मंडलेश्वर
tatvavdhan	तत्वावधान
interciti	इंटरसिटी
newnikaran	न्यूनीकरण
parat	परात
nigaaahon	निगाहों
downce	डाउंस
ulla	उल्ला
fatkar	फटकार
rsmon	रस्मों
bhaskaracharya	भास्कराचार्य
barambar	बारंबार
diwaali	दिवाली
bedminton	बैडमिंटन
divik	दिविक
kripaadrishti	कृपादृष्टि
faydon	फायदों
mataein	माताएं
barva	बारवा
b	ब
laazmi	लाज़मी
rukegi	रुकेगी
nazaaraa	नजारा
asprishyon	अस्पृश्यों
vidrupataon	विद्रूपताओं
vatsaraja	वत्सराज
otprot	ओतप्रोत
baywatch	बेवॉच
palish	पालिश
raketon	राकेटों
sambhashan	संभाषण
kevadaa	केवड़ा
rakne	रकने
jhinga	झींगा
shorgul	शोरगुल
sudhaaraney	सुधारने
humpy	हंपी
raktapit	रक्तपित्त
chamudeshwari	चामुंडेश्वरी
sunnana	सुनना
shikayaton	शिकायतों
istemaal	इस्तेमाल
sarveshreshth	सर्वेश्रेष्ठ
jujhanaa	जूझना
kisse	किससे
arajkataavadi	अराजकतावादी
anudarwadi	अनुदारवादी
akhtiyar	अख्तियार
khushabu	खुशबू
parachute	पैराशूट
simaon	सीमाओं
chhudayaa	छुड़ाया
bulbula	बुलबुला
sangitmay	संगीतमय
khujalidar	खुजलीदार
virangana	वीरांगना
grihsvami	गृहस्वामी
sabhyataein	सभ्यताएं
bhartsanaa	भर्त्सना
jutaane	जुटाने
hadgear	हेडगियर
shuddhatawadi	शुद्धतावादी
atiranjit	अतिरंजित
livoin	लिवाइन
sangrampur	संग्रामपुर
safdarjung	सफदरजंग
madhumakkhiyao	मधुमक्खियों
malharganj	मल्हारगंज
chubha	चुभा
punchratn	पंचरत्न
satyakaam	सत्यकाम
sahanshati	सहनशक्ति
putika	पुटिका
lagaani	लगानी
shatrpon	क्षत्रपों
dikhlaaee	दिखलाई
maharajganj	महाराजगंज
naini	नैनी
teekri	टीकरी
jaberdasti	जबरदस्ती
pravartan	प्रवर्तन
stud	स्टड
keetnashakon	कीटनाशकों
lichchavi	लिच्छवी
jiski	जिसकी
mehmanon	मेहमानों
pighalane	पिघलाने
nanihaal	ननिहाल
karzan	कर्ज़न
amanviytha	अमानवीयता
tattapani	तत्तापानी
dibyendu	दिब्येंदु
khareedana	खरीदना
fodakar	फोड़कर
arcadia	अर्काडिया
asahanashilata	असहनशीलता
machaya	मचाया
devrshi	देवर्षि
jwalamukhiy	ज्वालामुखीय
vastukala	वास्तुकला
expendable	एक्सपेंडेबल
thiyodor	थियोडोर
shmshad	शमशाद
soumyata	सौम्यता
anudeshoon	अनुदेशों
khachcharon	खच्चरों
aapurtikartaon	आपूर्तिकर्ताओं
rakheingey	रखेंगे
bimaron	बीमारों
devaalayon	देवालयों
ridh	रीढ
astvyastata	अस्तव्यस्तता
baseball	बेसबॉल
khemein	खेमें
jhalkari	झलकारी
janretar	जनरेटर
vishuva	विषुव
raa	रा
ems	ईएमएस
mandate	मैंडेट
jogbani	जोगबनी
jodenge	जोड़ेंगे
r	र
jaahr	जाहर
golakundaa	गोलकुंडा
failani	फैलनी
jalavan	जलावन
maotsey	माओत्से
nirdayta	निर्दयता
athaiya	अथैया
mehanatkash	मेहनतकश
salaahon	सलाहों
sewage	स्वेज
shirodharya	शिरोधार्य
uttapam	उत्तपम
shighratishighra	शीघ्रातिशीघ्र
baraamadi	बरामदगी
punarnirmaan	पुनर्निर्माण
bheegey	भीगे
kebul	केबुल
dent	डेंट
trainen	ट्रेनें
suryakant	सूर्यकांत
tavij	ताबीज
tomron	तोमरों
farokhta	फरोख्त
samayseema	समयसीमा
yatyat	यातयात
prototype	प्रोटोटाइप
dhundhna	ढूंढना
paliyaa	पलिया
chhayachitra	छायाचित्र
karyashakti	कार्यशक्ति
guardians	गार्जियंस
chhabariya	छाबरिया
janpriye	जनप्रिय
fructose	फ्रुक्टोज
lutyens	लुटियंस
hemananda	हेमानंद
chemotherapy	कीमोथेरेपी
chhataon	छटाओं
bharavana	भरावन
ghire	घिरे
nirvivaadit	निर्विवादित
rannitikar	रणनीतिकार
fadak	फड़क
aysk	अयस्क
bachhada	बछड़ा
jakhira	जखीरा
lautaate	लौटते
pratyasha	प्रत्याशा
jacqeline	जैकलिन
sanawad	सनावद
kitanu	कीटाणु
stroton	स्त्रोतों
pradarshani	प्रदर्शिनी
imax	आईमैक्स
niyampoorvak	नियमपूर्वक
shikshavidon	शिक्षाविदों
sadham	सद्दाम
vasugupt	वसुगुप्त
nishkraman	निष्क्रमण
matmatantar	मतमतांतर
nibhayee	निभाई
hendarsan	हेंडरसन
jataataa	जताता
kavyasanjgrah	काव्यसंग्रह
dashanan	दशानन
aabaadiyon	आबादियों
hsuan	ह्वेन
mukadmein	मुकदमें
khaasatey	खांसते
govardhananaath	गोवर्धननाथ
kaadiri	कादिरी
glycemic	ग्लाइसेमिक
aarybhatta	आर्यभट्ट
pahunchate	पहुंचते
aajanma	आजन्म
inke	इनके
bhangda	भांगड़ा
isake	इसके
nalon	नलों
jamkar	जमकर
johnny	जॉनी
baglein	बगलें
samoochi	समूची
avsanrchana	अवसंरचना
nanhin	नन्हीं
mahavidyalaya	महाविधालय
keetnashak	कीटनाशक
widget	विजेट
faink	फैंक
paanchvan	पांचवां
handle	हैंडल
dikhata	दिखाता
karsarp	कालसर्प
sacche	सच्चे
aushdhiyan	औषधियां
janavaadee	जनवादी
shrrng	श्रृंग
adachanen	अड़चनें
lalita	ललिता
shranagat	शरणागत
burning	बर्निंग
vaishva	वैश्व
vardhak	वर्धन
vaivsvt	वैवस्वत
jalamsingh	जालमसिंह
natrajan	नटराजन
manbhavan	मनभावन
agarsain	अग्रसेन
suchalak	सुचालक
gwatemala	ग्वाटेमाला
jeernoddhaar	जीर्णोद्धार
sanskritmay	संस्कृतमय
simari	सिमरी
khaprail	खपरैल
besd	बेस्ड
aatmsamman	आत्मसम्मान
bulaayi	बुलायी
manual	मैनुअल
otaprot	ओतप्रोत
ekkis	इक्कीस
parikrama	परिक्रमा
gairkanooni	गैरकानूनी
varishthata	वरिष्ठता
jagdeep	जगदीप
padhta	पढ़ता
trant	ट्रेंट
steven	स्टीवन
raktvahikaaon	रक्तवाहिकाओं
chalwakar	चलवाकर
bhumikaen	भूमिकाएं
mathadheesho	मठाधीशों
nakarti	नकारती
phu	फू
barbados	बारबाडोस
sheeshe	शीशे
vayane	वायने
rakhnevali	रखनेवाली
vyavsayon	व्यवसायों
overon	ओवरों
pratidhwani	प्रतिध्वनि
accord	एकॉर्ड
nikalti	निकलती
sark	सार्क
gayikaon	गायिकाओं
dhaula	धौला
trikoniya	त्रिकोणीय
pakane	पकने
parikshaon	परीक्षाओं
mcdonalds	मैकडॉनल्ड्स
rangta	रंगता
ashveton	अश्वेतों
radhakant	राधाकांत
vishakha	विशाखा
crp	सीआरपी
shiitala	शीतला
sautela	सौतेली
utarkar	उतरकर
patanshil	पतनशील
dastaanon	दस्तानों
godmother	गॉडमदर
panchavin	पांचवीं
tirthon	तीर्थों
utaro	उतरो
prtidan	प्रतिदान
mrunal	मृणाल
sahuuliyaton	सहूलियतों
punaraavritti	पुनरावृत्ति
jwarbhata	ज्वारभाटा
mairino	मैरिनो
janmatethe	जन्मतिथि
assignment	एसाइनमेंट
refinery	रिफायनरी
panchakshar	पंचाक्षर
ashatit	आशातीत
bnaaskaantha	बनासकांठा
alano	एलानो
tirathgarh	तीरथगढ़
damakate	दमकते
touchped	टचपैड
gaata	गाता
patents	पेटेंट्स
janmaotasav	जन्मोत्सव
arohan	आरोहण
maahi	माही
dafnaane	दफनाने
anubhutiyon	अनुभूतियों
deepesh	दीपेश
upchaarit	उपचारित
bayen	बाएं
transpondar	ट्रांसपोंडर
chabuk	चाबुक
nemade	नेमाड़े
lajami	लाज़मी
crafts	क्राफ्ट्स
yahoodiyon	यहूदियों
picks	पिक्स
hindutv	हिंदुत्व
anadi	अनादि
guchchha	गुच्छा
shricharanon	श्रीचरणों
levie	लेवी
krityon	कृत्यों
miyaa	मिया
aatmglani	आत्मग्लानि
upsamuh	उपसमूह
mansingh	मानसिंह
tiyaan	तियान
andrunee	अंदरूनी
manochikitskiye	मनोचिकित्सकीय
visarjen	विसर्जन
koniye	कोणीय
display	डिसप्ले
dawaiyon	दवाईयों
badola	बडोला
jhuthlate	झुठलाते
grihini	गृहिणी
samvarte	संवारते
tickto	टिकटों
gokaran	गोकर्ण
dakshinanchal	दक्षिणांचल
jhaangar	झांगर
gallium	गैलियम
kanaud	कन्नौद
rowing	रोइंग
sattadhariyon	सत्ताधारियों
marusthalon	मरुस्थलों
nanotechnology	नैनोटेक्नोलॉजी
layinon	लाइनों
jinko	जिनको
inhon	इन्हों
ehsan	एहसान
samiparvati	समीपवर्ती
updated	अपडेटेड
falahari	फलाहारी
abhyarany	अभ्यारण्य
anubhootiyon	अनुभूतियों
mithaas	मिठास
ramaalaa	रमाला
punchar	पंचर
anudanon	अनुदानों
haimar	हैमर
dole	डोले
bhasmeebhoot	भस्मीभूत
hamalon	हमलों
soojhbhoojh	सूझबूझ
nadiyadvala	नाडियाडवाला
muraina	मुरैना
rory	रोरी
ashru	अश्रु
flue	फ्लू
bulane	बुलाने
chhichhale	छिछले
sisro	सिसरो
jaayen	जाएं
ulook	उलूक
enteq	इंटेक
vishwavidhyalay	विश्वविद्लाय
sammaananiiya	सम्माननीय
pavanputra	पवनपुत्र
metalrji	मेटलर्जी
jangade	जांगड़े
rpi	आरपीआई
snayavik	स्नायविक
ooncha	ऊंचा
difficult	डिफिकल्ट
umrav	उमराव
manviki	मानविकी
guchchon	गुच्छों
portro	पोर्टो
darrel	डैरेल
varishbhanu	वृषभानु
ajmat	अजमत
pankho	पंखों
gorakhpur	गोरखपुर
bharake	भड़के
hair	हेयर
kumbh	कुंभ
akali	अकाली
tetra	टेट्रा
deepavali	दीपावली
punjigat	पूंजीगत
snaayvik	स्नायविक
jurnal	जर्नल
dalne	डलने
ld	एलडी
neena	नीना
yavnon	यवनों
jaanboojhkar	जानबूझकर
techniques	टेक्नीक्स
literature	लिटरेचर
espn	ईएसपीएन
janasevakon	जनसेवकों
payadanon	पायदानों
kaagjaat	कागजात
dayriyon	डायरियों
karvati	करवाती
ghoul	घुल
pradarshak	प्रदर्शक
istemal	इस्तेमाल
sanya	सान्या
utsarjan	उत्सर्जन
aadaanpradaan	आदानप्रदान
bhaijaan	भाईजान
jansmpark	जनसंपर्क
shreshthtam	श्रेष्ठतम
nishaaniyan	निशानियां
wafadaar	वफादार
ladkiyon	लडकियों
roshnabad	रोशनाबाद
vidyaarthiyo	विद्यार्थियो
maadhosingh	माधोसिंह
rumaani	रूमानी
meditareyniyan	मेडिटरेनियन
daudte	दौड़ते
simavarti	सीमावर्ती
avarakt	अवरक्त
saguan	सागौन
uc	यूसी
taanaashah	तानाशाह
jirnshirn	जीर्णशीर्ण
kartel	कार्टेल
joy	जॉय
peptic	पेप्टिक
kaudi	कौड़ी
coloney	कॉलोनी
luthria	लुथरिया
owners	ऑनर्स
bhoovaigyanik	भूवैज्ञानिक
paahan	पाहन
maccharon	मच्छरों
parvateeya	पर्वतीय
bijauliya	बिजौलिया
bhubhag	भूभाग
prakirnan	प्रकीर्णन
ramadheen	रामाधीन
copieyoon	कॉपियों
christie	क्रिस्टी
aarav	आरव
